Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,8.78125,8.34375,8.78125,8.59375,181400.0,7.995791912078857
2000-01-04,8.5,8.3125,8.5,8.46875,193400.0,7.87948751449585
2000-01-05,8.4375,8.25,8.375,8.4375,304800.0,7.8504133224487305
2000-01-06,8.40625,7.9375,8.40625,8.09375,199000.0,7.530581474304199
2000-01-07,8.09375,7.75,8.09375,7.78125,231400.0,7.239823818206787
2000-01-10,8.0,7.625,7.9375,7.875,337000.0,7.32705020904541
2000-01-11,7.8125,7.53125,7.8125,7.65625,318000.0,7.1235246658325195
2000-01-12,7.65625,7.1875,7.65625,7.25,219600.0,6.745541095733643
2000-01-13,7.34375,7.25,7.3125,7.3125,95600.0,6.803691864013672
2000-01-14,7.4375,6.75,7.4375,6.90625,755000.0,6.4257097244262695
2000-01-18,6.875,6.6875,6.84375,6.875,431800.0,6.396633148193359
2000-01-19,7.09375,6.875,6.875,7.0,261800.0,6.512936592102051
2000-01-20,7.28125,6.9375,7.03125,7.0,525800.0,6.512936592102051
2000-01-21,7.0,6.875,6.90625,6.90625,767600.0,6.4257097244262695
2000-01-24,7.0,6.75,6.9375,6.78125,258200.0,6.3094072341918945
2000-01-25,6.6875,6.0625,6.6875,6.21875,654000.0,5.786046981811523
2000-01-26,6.1875,5.78125,6.1875,5.875,521200.0,5.46621561050415
2000-01-27,5.96875,5.78125,5.875,5.78125,272400.0,5.378985404968262
2000-01-28,5.8125,5.625,5.78125,5.65625,98400.0,5.262681484222412
2000-01-31,5.6875,5.53125,5.59375,5.5625,303400.0,5.175456523895264
2000-02-01,5.65625,5.4375,5.625,5.5625,290200.0,5.175456523895264
2000-02-02,5.78125,5.625,5.65625,5.71875,182600.0,5.320833683013916
2000-02-03,5.8125,5.71875,5.71875,5.75,196200.0,5.349913597106934
2000-02-04,5.84375,5.75,5.78125,5.78125,411400.0,5.378985404968262
2000-02-07,6.0625,5.75,5.8125,5.875,123000.0,5.46621561050415
2000-02-08,6.03125,5.78125,6.03125,5.8125,170800.0,5.408061504364014
2000-02-09,6.09375,5.75,5.875,5.9375,276200.0,5.5243659019470215
2000-02-10,6.375,5.9375,6.0,6.3125,130400.0,5.873271942138672
2000-02-11,6.53125,6.09375,6.25,6.4375,138400.0,5.994322776794434
2000-02-14,6.4375,6.0625,6.4375,6.21875,194000.0,5.790633678436279
