id,nombre,provincia_id,centroide_lat,centroide_lon
6119015000,BARRIO EL MIRADOR,6,-35.31453705,-58.04844208
6119020000,BARRIO LAS GOLONDRINAS,6,-35.03357778,-58.19353827
6119030000,BARRIO LOS BOSQUECITOS,6,-35.10503899,-58.18350079
6119040000,BARRIO PARQUE LAS ACACIAS,6,-35.10303295,-58.27304054
6119045000,CAMPOS DE ROCA,6,-35.11497726,-58.09538965
6119050000,CORONEL BRANDSEN,6,-35.1690983,-58.23735294
6119055000,CLUB DE CAMPO LAS MALVINAS,6,-35.21399781,-58.24330309
6119060000,GOMEZ,6,-35.06936553,-58.16568999
6119070000,JEPPENER,6,-35.28020439,-58.19966494
6119080000,OLIDEN,6,-35.18425843,-57.94796232
6119085000,POSADA DE LOS LAGOS,6,-35.1499384,-58.05045287
6119090000,SAMBOROMBON,6,-35.22062427,-58.28052979
6126010000,ALTO LOS CARDALES,6,-34.31602437,-58.97845748
6126020000,BARRIO LOS PIONEROS,6,-34.25304064,-58.95844004
6126030000,CAMPANA,6,-34.16396181,-58.9588741
6126035000,CHACRAS DEL RIO LUJAN,6,-34.29341532,-58.92119904
6126040000,LOMAS DEL RIO LUJAN,6,-34.28167706,-58.89119065
6134010000,ALEJANDRO PETION,6,-34.97937685,-58.67494308
6134020000,BARRIO EL TALADRO,6,-35.07424862,-58.86324206
6134030000,CA¥UELAS,6,-35.05271404,-58.7583857
6134040000,GOBERNADOR UDAONDO,6,-35.30032711,-58.59430537
6134050001,BARRIO BELGRANO,6,-34.90229416,-58.64790102
6134050002,MAXIMO PAZ,6,-34.93645631,-58.6143958
6134060000,SANTA ROSA,6,-34.96118394,-58.73089183
6134070000,URIBELARREA,6,-35.12273644,-58.89048715
6134080000,VICENTE CASARES,6,-34.96535267,-58.65049796
6140010000,CAPITAN SARMIENTO,6,-34.17236743,-59.78934914
6140020000,LA LUISA,6,-34.12855721,-59.92400583
6147010000,BELLOCQ,6,-35.91897056,-61.53126302
6147020000,CADRET,6,-35.77275314,-61.33538798
6147030000,CARLOS CASARES,6,-35.6235435,-61.36531591
6147040000,COLONIA MAURICIO,6,-35.52495955,-61.43786708
6147050000,HORTENSIA,6,-35.92770926,-61.26229015
6147060000,LA SOFIA,6,-35.70039074,-61.17028652
6147070000,MAURICIO HIRSCH,6,-35.58301765,-61.52444571
6147080000,MOCTEZUMA,6,-35.47747256,-61.49307349
6147090000,ORDOQUI,6,-35.88312621,-61.15942804
6147095000,SANTO TOMAS,6,-35.6740915,-61.50666643
6147100000,SMITH,6,-35.49462903,-61.59378111
6154010000,CARLOS TEJEDOR,6,-35.39257333,-62.41930231
6154020000,COLONIA SERE,6,-35.43881577,-62.72523821
6154030000,CURARU,6,-35.6403503,-62.19243723
6154040000,TIMOTE,6,-35.34776152,-62.22465328
6154050000,TRES ALGARROBOS,6,-35.19798151,-62.77308141
6161010000,CARMEN DE ARECO,6,-34.37769873,-59.82290198
6161020000,PUEBLO GOUIN,6,-34.49511914,-59.80297374
6161030000,TRES SARGENTOS,6,-34.46647783,-60.00086974
6168010000,CASTELLI,6,-36.09169412,-57.80718016
6168020000,CENTRO GUERRERO,6,-36.05706219,-57.82354226
6168030000,CERRO DE LA GLORIA (CANAL 15),6,-35.97605306,-57.44873544
6175010000,COLON,6,-33.89786336,-61.09956051
6175020000,EL ARBOLITO,6,-33.9147838,-60.94380818
6175030000,PEARSON,6,-33.6518963,-60.89222399
6175040000,SARASA,6,-34.05233531,-61.20190409
6182010000,BAJO HONDO,6,-38.76481599,-61.91840511
6182020000,BALNEARIO PEHUEN CO,6,-38.99619639,-61.54719901
6182025000,PAGO CHICO,6,-38.78394028,-62.11951948
6182030000,PUNTA ALTA,6,-38.88135273,-62.07495361
6182030001,PUNTA ALTA,6,-38.88235478,-62.06267063
6182030002,VILLA DEL MAR,6,-38.85322426,-62.1164752
6182050000,VILLA GENERAL ARIAS,6,-38.80690014,-62.0949854
6189010000,APARICIO,6,-38.62049491,-60.88096034
6189020000,BALNEARIO MARISOL,6,-38.92249069,-60.53297745
6189030000,CORONEL DORREGO,6,-38.71662391,-61.28849489
6189040000,EL PERDIDO,6,-38.67577528,-61.08844218
6189050000,FARO,6,-38.79667811,-61.06887721
6189060000,IRENE,6,-38.55434263,-60.69549387
6189070000,ORIENTE,6,-38.73884911,-60.60922382
6189075000,LA RUTA,6,-38.65341641,-60.86085577
6189080000,SAN ROMAN,6,-38.74155509,-61.53772001
6196010000,CORONEL PRINGLES,6,-37.98652106,-61.35407157
6196020000,EL DIVISORIO,6,-38.3235636,-61.44505781
6196030000,EL PENSAMIENTO,6,-38.21540943,-61.31458478
6196040000,INDIO RICO,6,-38.3293771,-60.88663403
6196050000,LARTIGAU,6,-38.44591904,-61.56609686
6203010000,CASCADAS,6,-37.28996158,-62.29716825
6203020000,CORONEL SUAREZ,6,-37.45962249,-61.93175301
6203030000,CURA MALAL,6,-37.48430187,-62.1036196
6203040000,D'ORBIGNY,6,-37.67722931,-61.70526085
6203050000,HUANGUELEN,6,-37.06222882,-61.92975291
